order_id,customer_id,order_date,product_id,product_name,category,price,quantity,payment_method,country,city,is_fraud,total_amount,log_amount,order_count,avg_spend_customer,std_spend_customer,day_of_week,is_weekend,rule_duplicate,rule_price_spike,rule_quantity,rule_payment,rule_geo,rule_known_fraud,rule_score,iso_score,cluster,kmeans_distance,prophet_score,autoencoder_score,iso_n,kmeans_n,prophet_n,ae_n,rule_n,final_score,is_anomaly
12646,C195,2026-02-01,P410,Desk Lamp,2,47.6,3.0,0,5,0,0,142.8,4.9684234452869465,21,1241.7761904761905,1624.7048463966498,6,1,0,0,0,0,1,0,1,-1,3,1.8654792096207655,13892.009307429413,0.5107156,0.0,0.03646150744383788,0.16230740565209872,0.0068601435,0.124999999984375,0.05766743390577904,False
8147,C090,2026-02-01,P205,Running Shoes,4,81.0,2.0,7,1,3,0,162.0,5.093750200806762,21,146.6238095238095,50.94442957539032,6,1,0,0,0,0,1,0,1,-1,3,2.6642957502870708,13892.009307429413,1.0394168,0.0,0.13450819525508795,0.16230740565209872,0.01851084,0.124999999984375,0.07902437616038385,False
12903,C197,2026-02-01,P888,Headphones,1,208.7,4.0,1,1,3,1,834.8,6.728389350013815,14,458.11428571428576,369.1243502318235,6,1,0,0,0,0,0,1,3,-1,3,1.9788950037586595,13892.009307429413,0.6095791,0.0,0.050382154294024144,0.16230740565209872,0.009038744,0.374999999953125,0.11077835330154329,False
12486,C189,2026-02-01,P512,Backpack,0,40.4,1.0,0,2,13,0,40.4,3.7232808808312687,44,258.8699385257898,819.0087298497457,6,1,0,0,0,0,1,0,1,-1,3,3.6723539344130396,13892.009307429413,1.1817696,0.0,0.25823718813765045,0.16230740565209872,0.02164779,0.124999999984375,0.10424071708581764,False
7436,C109,2026-02-01,P777,Smartphone,1,684.5,2.0,6,2,13,0,1369.0,7.222566018822171,23,521.8217391304348,586.5804687543822,6,1,0,0,0,0,1,0,1,-1,3,3.1617150260672156,13892.009307429413,1.0196106,0.0,0.19556140329586522,0.16230740565209872,0.018074384,0.124999999984375,0.0911695492840035,False
9590,C066,2026-02-01,P888,Headphones,1,202.2,4.0,6,2,13,0,808.8,6.696787303598061,7,790.2285714285714,19.58074856295626,6,1,0,0,0,0,0,0,0,-1,3,2.4614567225550603,13892.009307429413,0.81972986,0.0,0.10961174680224382,0.16230740565209872,0.01366972,0.0,0.04831891819619792,False
8335,C141,2026-02-01,P777,Smartphone,1,706.1,2.0,1,5,0,0,1412.2,7.25361191548499,14,1411.957142857143,48.161215073569686,6,1,0,0,0,0,1,0,1,-1,2,3.2344208885313157,13892.009307429413,1.0119914,0.0,0.20448531590428373,0.16230740565209872,0.017906481,0.124999999984375,0.0929291462821325,False
4692,C067,2026-02-01,P309,Coffee Maker,3,122.2,1.0,1,1,3,0,122.2,4.81380905109942,15,114.0,8.138708216207988,6,1,0,0,0,0,0,0,0,-1,3,2.181809922638984,13892.009307429413,0.78417814,0.0,0.07528791762124505,0.16230740565209872,0.012886287,0.0,0.04133663749545658,False
10814,C081,2026-02-01,P410,Desk Lamp,2,43.6,2.0,1,2,13,0,87.2,4.4796069630127455,28,279.32142857142856,211.3027867112918,6,1,0,0,0,0,0,0,0,-1,3,1.9775791636823123,13892.009307429413,0.66253495,0.0,0.05022064817264673,0.16230740565209872,0.010205703,0.0,0.03592109602718693,False
10368,C091,2026-02-01,P410,Desk Lamp,2,46.3,3.0,1,4,14,0,138.89999999999998,4.940927881671436,7,424.94190844453806,760.5069198315472,6,1,0,0,0,0,0,0,0,-1,3,1.9748730676825514,13892.009307429413,0.74247575,0.0,0.049888502133889796,0.16230740565209872,0.011967314,0.0,0.03611890852880944,False
12315,C070,2026-02-01,P777,Smartphone,1,696.1,1.0,6,0,2,0,696.1,6.546928872492353,15,389.64666666666665,285.19739246119815,6,1,0,0,0,0,1,0,1,-1,3,3.1070713228990816,13892.009307429413,0.9976171,0.0,0.18885443888961023,0.16230740565209872,0.017589724,0.124999999984375,0.089755457362578,False
5583,C012,2026-02-01,P888,Headphones,1,203.9,1.0,0,15,15,0,203.9,5.322522055244854,23,323.6391304347826,294.4260745912452,6,1,0,0,0,0,1,0,1,-1,3,2.9745276844347694,13892.009307429413,0.910193,0.0,0.17258604172918351,0.16230740565209872,0.015663207,0.124999999984375,0.08621280017712167,False
8811,C140,2026-02-01,P410,Desk Lamp,2,43.8,3.0,0,1,3,0,131.39999999999998,4.885827643502908,21,1235.4952380952382,1635.5599660288185,6,1,0,0,0,0,0,0,0,-1,3,1.8149560061525054,13892.009307429413,0.5509157,0.0,0.03026029289018722,0.16230740565209872,0.0077460115,0.0,0.03156007117179747,False
10533,C104,2026-02-01,P101,Wireless Mouse,1,27.1,3.0,0,1,3,0,81.30000000000001,4.410371107683024,31,134.1258064516129,68.95837859531373,6,1,0,0,0,0,0,0,0,-1,3,2.117180891707124,13892.009307429413,0.6213039,0.0,0.0673553547651552,0.16230740565209872,0.009297118,0.0,0.039211749462764546,False
